q p curve
0.144200 5.564286 5
1.632465 4.607926 5
4.416993 5.156274 5
6.049812 5.676982 5
0.939220 5.018023 5
3.498594 4.785677 5
5.622647 5.613074 5
0.434151 5.393879 5
2.331849 4.495542 5
5.099846 5.453842 5
0.070270 5.588180 5
1.452288 4.691510 5
4.250670 5.088042 5
5.985846 5.682143 5
0.846612 5.081698 5
3.264008 4.700071 5
5.527227 5.590343 5
0.360684 5.449047 5
2.178261 4.494952 5
4.972935 5.399636 5
6.280443 5.610831 5
1.299832 4.777881 5
4.093269 5.023916 5
5.917105 5.677816 5
0.748508 5.149716 5
2.999537 4.614901 5
5.429199 5.566674 5
0.292259 5.494798 5
2.019910 4.507634 5
4.817619 5.331028 5
6.207142 5.635811 5
1.174184 4.858098 5
3.939003 4.961210 5
5.842939 5.666151 5
0.653211 5.219869 5
2.768271 4.554844 5
5.337082 5.540536 5
0.228631 5.528950 5
1.853535 4.537359 5
4.637090 5.250676 5
6.133651 5.659184 5
1.062679 4.933587 5
3.763116 4.889924 5
5.752900 5.646169 5
0.553874 5.298371 5
2.565387 4.517520 5
5.244194 5.509983 5
0.165470 5.556329 5
1.687127 4.587062 5
4.468295 5.177772 5
6.069055 5.673858 5
0.967230 4.998798 5
3.564020 4.810836 5
5.652670 5.620624 5
0.459583 5.374001 5
2.382898 4.498320 5
5.136609 5.468958 5
0.093780 5.580995 5
1.507340 4.663680 5
4.302251 5.109059 5
6.006298 5.681487 5
0.876270 5.061325 5
3.342091 4.727688 5
5.557288 5.597339 5
0.382761 5.432896 5
2.225476 4.493826 5
5.014339 5.417564 5
0.019579 5.603680 5
1.343278 4.751958 5
4.140925 5.043340 5
5.938905 5.680095 5
0.778960 5.128343 5
3.080729 4.639472 5
5.459415 5.574299 5
0.313080 5.481778 5
2.070631 4.502045 5
4.870171 5.354426 5
6.230441 5.627746 5
1.211767 4.833366 5
3.988292 4.981214 5
5.867123 5.670507 5
0.682800 5.197477 5
2.835672 4.570632 5
5.365099 5.548943 5
0.247968 5.519389 5
1.905093 4.526139 5
4.693019 5.275436 5
6.155696 5.652758 5
1.095563 4.911159 5
3.821001 4.913349 5
5.783052 5.653413 5
0.585419 5.273036 5
2.626986 4.527133 5
5.274228 5.520337 5
0.185744 5.548152 5
1.739933 4.569022 5
4.519595 5.199582 5
6.088436 5.670123 5
0.995670 4.979335 5
3.627608 4.835736 5
5.683463 5.628511 5
0.486957 5.352269 5
2.436670 4.502510 5
5.172008 5.483076 5
0.117082 5.573581 5
1.564188 4.637012 5
4.354355 5.130384 5
6.026260 5.679909 5
0.905138 5.041466 5
3.415487 4.754473 5
5.586918 5.604355 5
0.405423 5.415900 5
2.272912 4.493882 5
5.053843 5.434474 5
0.042234 5.596672 5
1.390250 4.725080 5
4.189779 5.063250 5
5.960413 5.681592 5
0.809748 5.107033 5
3.164343 4.666311 5
5.490159 5.581691 5
0.334404 5.467553 5
2.120090 4.497996 5
4.918905 5.375978 5
